prod_id,prod_name,category,subcategory,color,size,weight,quantity,sold,price,currency,price_discount,rating_count,avg_rating,location,artisan_name,description
1,Arabic calligraphy glass set of 6 coffee cups and 6 plates,Glass,Drinkware,Frosted,One Size,1.93,43,36,500,EGP,454,92,4.29,Aswan,Mostafa Ibrahim,"Crafted from premium frosted glass, this set of 6 coffee cups and 6 plates features intricate Arabic calligraphy detailing. Its elegant design brings a timeless touch to any table setting."
2,Arabic calligraphy glass set of 6 tea estikana and 6 plates,Glass,Drinkware,Frosted,One Size,1.67,33,98,550,EGP,429,98,3.92,Giza,Khaled Mostafa,This elegant tea set is made from high-quality frosted glass and features traditional Arabic calligraphy on every piece. The set combines functionality with refined artisanal detail.
3,Cylinder Colored Pyrex Frosted Vase with Arabic Calligraphy,Glass,Home Decor,Frosted & Blue,One Size,1.64,19,43,350,EGP,261,66,4.09,Aswan,Mostafa Ibrahim,"This striking vase is crafted from Pyrex glass with a frosted and blue finish, accented by elegant Arabic calligraphy. Its cylindrical design and vibrant color make it a standout decorative piece."
4,Frosted kanaka & Sebertaya,Glass,Drinkware,Frosted,One Size,0.81,47,85,650,EGP,461,32,4.88,Alexandria,Samir Fathy,"Crafted from frosted glass, this unique piece features a blend of Kanaka and Sebertaya design elements. Its contemporary style and refined finish add a modern twist to traditional artistry."
5,Frosted kanaka & Sebertaya Medium,Glass,Drinkware,Frosted,One Size,0.95,12,90,570,EGP,483,87,3.77,Alexandria,Samir Fathy,"This medium-sized piece, made from frosted glass, showcases distinctive Kanaka and Sebertaya patterns. Its refined design and durable material offer both style and practicality."
6,Frosted mug - HOR,Glass,Drinkware,Frosted,One Size,0.37,25,34,360,EGP,312,63,4.92,Aswan,Mostafa Ibrahim,"Made from high-quality frosted glass, this mug features a unique HOR design. Its sleek finish and comfortable form make it an ideal everyday piece."
7,Frosted Mug - key of life,Glass,Drinkware,Frosted,One Size,0.41,43,64,360,EGP,253,86,4.81,Luxor,Nour Khaled,This frosted glass mug is adorned with a 'key of life' motif that blends tradition with modern design. Its elegant finish and sturdy construction make it perfect for daily use.
8,Frosted Mug - TUT,Glass,Drinkware,Frosted,One Size,0.38,23,98,360,EGP,298,51,3.39,Alexandria,Samir Fathy,"Featuring an iconic TUT design, this frosted mug combines ancient inspiration with a contemporary aesthetic. Its crisp finish and robust build make it a collectible accent."
9,Pressed Colored Pyrex Frosted T-Light with Arabic Calligraphy,Glass,Home Decor,Frosted & Pink,One Size,0.59,27,46,530,EGP,401,25,3.14,Cairo,Laila Nasser,This exquisite T-Light is crafted from pressed colored Pyrex with a frosted pink finish and delicate Arabic calligraphy. Its artistic design adds a sophisticated glow to any space.
10,Scarabaeus Candle,Glass,Home Decor,Frosted,One Size,1.05,15,77,320,EGP,275,58,3.2,Cairo,Laila Nasser,This stunning scarabaeus candle is made from frosted glass and features intricate design details inspired by ancient symbolism. Its unique shape and elegant finish create a captivating decorative piece.
11,Pressed Colored Pyrex Frosted Vase with Arabic Calligraphy Amber,Glass,Home Decor,Frosted,One Size,1.62,15,2,530,EGP,394,63,3.04,Cairo,Laila Nasser,"Crafted from pressed colored Pyrex with a frosted amber finish, this vase features elegant Arabic calligraphy. Its warm hues and refined design make it a striking centerpiece."
12,Pressed Colored Pyrex Frosted Vase with Arabic Calligraphy Femme,Glass,Home Decor,Frosted,One Size,1.85,28,0,530,EGP,462,62,3.19,Aswan,Mostafa Ibrahim,"This beautifully crafted vase, made from pressed colored Pyrex with a frosted finish, features feminine Arabic calligraphy details. Its graceful design and subtle charm make it a perfect accent piece."
